Feature,Importance
cat__place_Alexandraview,0
cat__place_Alexandriaberg,0
cat__place_Alexandriaborough,0
cat__place_Alexandriafort,0
cat__place_Alexandriashire,0
cat__place_Alexandriatown,0
cat__place_Alexashire,0
cat__place_Alexatown,0
cat__place_Alexborough,0
cat__place_Alexbury,0
cat__place_Alexfurt,0
cat__place_Alexhaven,0
cat__place_Alexisberg,0
cat__place_Alexisborough,0
cat__place_Alexisburgh,0
cat__place_Alexischester,0
cat__place_Alexisfort,0
cat__place_Alexishaven,0
cat__place_Alexismouth,0
cat__place_Alexisshire,0
cat__place_Alexisside,0
cat__place_Alexisstad,0
cat__place_Alexiston,0
cat__place_Alexistown,0
cat__place_Alexisview,0
cat__place_Alexshire,0
cat__place_Alexstad,0
cat__place_Alfredfort,0
cat__place_Alfredland,0
cat__place_Alfredville,0
cat__place_Aliburgh,0
cat__place_Alicefurt,0
cat__place_Alicemouth,0
cat__place_Aliceport,0
cat__place_Aliciaberg,0
cat__place_Aliciaborough,0
cat__place_Aliciabury,0
cat__place_Aliciafort,0
cat__place_Aliciafurt,0
cat__place_Alicialand,0
cat__place_Aliciamouth,0
cat__place_Aliciaport,0
cat__place_Aliciaview,0
cat__place_Aliciaville,0
cat__place_Alifort,0
cat__place_Alishaton,0
cat__place_Alishatown,0
cat__place_Aliside,0
cat__place_Alisonberg,0
cat__place_Alisonfurt,0
cat__place_Alisonmouth,0
cat__place_Alisonport,0
cat__place_Alisonton,0
cat__place_Allenburgh,0
cat__place_Allenbury,0
cat__place_Allenchester,0
cat__place_Allenfort,0
cat__place_Allenfurt,0
cat__place_Allenhaven,0
cat__place_Allenland,0
cat__place_Allenmouth,0
cat__place_Allenport,0
cat__place_Allenshire,0
cat__place_Allenside,0
cat__place_Allenstad,0
cat__place_Allenton,0
cat__place_Allentown,0
cat__place_Allenview,0
cat__place_Allenville,0
cat__place_Allisonberg,0
cat__place_Allisonborough,0
cat__place_Allisonbury,0
cat__place_Allisonfort,0
cat__place_Allisonfurt,0
cat__place_Allisonhaven,0
cat__place_Allisonland,0
cat__place_Allisonmouth,0
cat__place_Allisonport,0
cat__place_Allisonside,0
cat__place_Allisonstad,0
cat__place_Allisonton,0
cat__place_Allisonview,0
cat__place_Allisonville,0
cat__place_Alvaradoburgh,0
cat__place_Alvaradohaven,0
cat__place_Alvaradomouth,0
cat__place_Alvaradoport,0
cat__place_Alvaradoville,0
cat__place_Alvarezberg,0
cat__place_Alvarezborough,0
cat__place_Alvarezbury,0
cat__place_Alvarezfurt,0
cat__place_Alvarezhaven,0
cat__place_Alvarezmouth,0
cat__place_Alvarezport,0
cat__place_Alvarezside,0
cat__place_Alvarezstad,0
cat__place_Alvarezview,0
cat__place_Alvarezville,0
cat__place_Alyssaberg,0
cat__place_Alyssaborough,0
cat__place_Alyssaburgh,0
cat__place_Alyssabury,0
cat__place_Alyssachester,0
cat__place_Alyssafort,0
cat__place_Alyssafurt,0
cat__place_Alyssamouth,0
cat__place_Alyssaport,0
cat__place_Alyssaside,0
cat__place_Alyssastad,0
cat__place_Alyssaton,0
cat__place_Alyssaview,0
cat__place_Alyssaville,0
cat__place_Amandaberg,0
cat__place_Amandaborough,0
cat__place_Amandaburgh,0
cat__place_Amandabury,0
cat__place_Amandachester,0
cat__place_Amandafort,0
cat__place_Amandafurt,0
cat__place_Amandahaven,0
cat__place_Amandaland,0
cat__place_Amandamouth,0
cat__place_Amandaport,0
cat__place_Amandashire,0
cat__place_Amandaside,0
cat__place_Amandastad,0
cat__place_Amandaton,0
cat__place_Amandaview,0
cat__place_Amandaville,0
cat__place_Amberberg,0
cat__place_Amberborough,0
cat__place_Amberburgh,0
cat__place_Amberbury,0
cat__place_Amberchester,0
cat__place_Amberfort,0
cat__place_Amberfurt,0
cat__place_Amberhaven,0
cat__place_Amberland,0
cat__place_Ambermouth,0
cat__place_Amberport,0
cat__place_Ambershire,0
cat__place_Amberside,0
cat__place_Amberstad,0
cat__place_Amberton,0
cat__place_Ambertown,0
cat__place_Amberview,0
cat__place_Amberville,0
cat__place_Amyberg,0
cat__place_Amyborough,0
cat__place_Amyburgh,0
cat__place_Amybury,0
cat__place_Amychester,0
cat__place_Amyfort,0
cat__place_Amyfurt,0
cat__place_Amyhaven,0
cat__place_Amyland,0
cat__place_Amymouth,0
cat__place_Amyport,0
cat__place_Amyshire,0
cat__place_Amyside,0
cat__place_Amystad,0
cat__place_Amyton,0
cat__place_Amytown,0
cat__place_Amyview,0
cat__place_Amyville,0
cat__place_Anafort,0
cat__place_Anahaven,0
cat__place_Anashire,0
cat__place_Anaside,0
cat__place_Andersenbury,0
cat__place_Andersenport,0
cat__place_Andersenview,0
cat__place_Andersonberg,0
cat__place_Andersonborough,0
cat__place_Andersonburgh,0
cat__place_Andersonbury,0
cat__place_Andersonchester,0
cat__place_Andersonfort,0
cat__place_Andersonfurt,0
cat__place_Andersonhaven,0
cat__place_Andersonland,0
cat__place_Andersonmouth,0
cat__place_Andersonport,0
cat__place_Andersonshire,0
cat__place_Andersonside,0
cat__place_Andersonstad,0
cat__place_Andersonton,0
cat__place_Andersontown,0
cat__place_Andersonview,0
cat__place_Andersonville,0
cat__place_Andradehaven,0
cat__place_Andradeville,0
cat__place_Andreaberg,0
cat__place_Andreaborough,0
cat__place_Andreabury,0
cat__place_Andreachester,0
cat__place_Andreafort,0
cat__place_Andreafurt,0
cat__place_Andreahaven,0
cat__place_Andrealand,0
cat__place_Andreamouth,0
cat__place_Andreaport,0
cat__place_Andreashire,0
cat__place_Andreaside,0
cat__place_Andreastad,0
cat__place_Andreatown,0
cat__place_Andreaville,0
cat__place_Andrefort,0
cat__place_Andrehaven,0
cat__place_Andreport,0
cat__place_Andresberg,0
cat__place_Andresfurt,0
cat__place_Andreton,0
cat__place_Andrewberg,0
cat__place_Andrewborough,0
cat__place_Andrewburgh,0
cat__place_Andrewbury,0
cat__place_Andrewchester,0
cat__place_Andrewfort,0
cat__place_Andrewfurt,0
cat__place_Andrewland,0
cat__place_Andrewmouth,0
cat__place_Andrewport,0
cat__place_Andrewsberg,0
cat__place_Andrewsborough,0
cat__place_Andrewsbury,0
cat__place_Andrewshire,0
cat__place_Andrewside,0
cat__place_Andrewsmouth,0
cat__place_Andrewsport,0
cat__place_Andrewstad,0
cat__place_Andrewsview,0
cat__place_Andrewsville,0
cat__place_Andrewton,0
cat__place_Andrewtown,0
cat__place_Andrewview,0
cat__place_Andrewville,0
cat__place_Angelaberg,0
cat__place_Angelaborough,0
cat__place_Angelaburgh,0
cat__place_Angelabury,0
cat__place_Angelachester,0
cat__place_Angelafurt,0
cat__place_Angelahaven,0
cat__place_Angelaland,0
cat__place_Angelamouth,0
cat__place_Angelaport,0
cat__place_Angelashire,0
cat__place_Angelaside,0
cat__place_Angelastad,0
cat__place_Angelaton,0
cat__place_Angelatown,0
cat__place_Angelaview,0
cat__place_Angelberg,0
cat__place_Angelborough,0
cat__place_Angelhaven,0
cat__place_Angelicachester,0
cat__place_Angelicafort,0
cat__place_Angelicahaven,0
cat__place_Angelicamouth,0
cat__place_Angelicatown,0
cat__place_Angelicaville,0
cat__place_Angelmouth,0
cat__place_Angelshire,0
cat__place_Angelside,0
cat__place_Angelstad,0
cat__place_Angieberg,0
cat__place_Angiefort,0
cat__place_Angiefurt,0
cat__place_Angieland,0
cat__place_Anitahaven,0
cat__place_Anitamouth,0
cat__place_Anitaport,0
cat__place_Anitastad,0
cat__place_Anitatown,0
cat__place_Anitaville,0
cat__place_Annaborough,0
cat__place_Annachester,0
cat__place_Annafurt,0
cat__place_Annaland,0
cat__place_Annamouth,0
cat__place_Annaport,0
cat__place_Annashire,0
cat__place_Annaside,0
cat__place_Annaton,0
cat__place_Annatown,0
cat__place_Annaview,0
cat__place_Annaville,0
cat__place_Annbury,0
cat__place_Annchester,0
cat__place_Anneberg,0
cat__place_Anneborough,0
cat__place_Annebury,0
cat__place_Annechester,0
cat__place_Annefort,0
cat__place_Annefurt,0
cat__place_Anneland,0
cat__place_Annemouth,0
cat__place_Anneport,0
cat__place_Anneton,0
cat__place_Annetteburgh,0
cat__place_Annettebury,0
cat__place_Annettefurt,0
cat__place_Annettemouth,0
cat__place_Anneview,0
cat__place_Anneville,0
cat__place_Annfort,0
cat__place_Annfurt,0
cat__place_Annhaven,0
cat__place_Annmouth,0
cat__place_Annton,0
cat__place_Annview,0
cat__place_Annville,0
cat__place_Anthonyberg,0
cat__place_Anthonyborough,0
cat__place_Anthonyburgh,0
cat__place_Anthonybury,0
cat__place_Anthonychester,0
cat__place_Anthonyfort,0
cat__place_Anthonyfurt,0
cat__place_Anthonyhaven,0
cat__place_Anthonyland,0
cat__place_Anthonymouth,0
cat__place_Anthonyport,0
cat__place_Anthonyshire,0
cat__place_Anthonyside,0
cat__place_Anthonystad,0
cat__place_Anthonyton,0
cat__place_Anthonytown,0
cat__place_Anthonyview,0
cat__place_Anthonyville,0
cat__place_Antonioberg,0
cat__place_Antoniofort,0
cat__place_Antoniofurt,0
cat__place_Antoniohaven,0
cat__place_Antonioland,0
cat__place_Antoniomouth,0
cat__place_Antonioside,0
cat__place_Antoniotown,0
cat__place_Antonioview,0
cat__place_Antonioville,0
cat__place_Aprilberg,0
cat__place_Aprilborough,0
cat__place_Aprilburgh,0
cat__place_Aprilbury,0
cat__place_Aprilchester,0
cat__place_Aprilfort,0
cat__place_Aprilfurt,0
cat__place_Aprilland,0
cat__place_Aprilmouth,0
cat__place_Aprilport,0
cat__place_Aprilshire,0
cat__place_Aprilside,0
cat__place_Aprilton,0
cat__place_Apriltown,0
cat__place_Aprilview,0
cat__place_Aprilville,0
cat__place_Archerberg,0
cat__place_Archerborough,0
cat__place_Archerfort,0
cat__place_Archermouth,0
cat__place_Archerside,0
cat__place_Archertown,0
cat__place_Arellanomouth,0
cat__place_Arianamouth,0
cat__place_Arianatown,0
cat__place_Ariasborough,0
cat__place_Ariasfort,0
cat__place_Ariasmouth,0
cat__place_Ariasville,0
cat__place_Arielburgh,0
cat__place_Arielhaven,0
cat__place_Arielmouth,0
cat__place_Arielshire,0
cat__place_Arielton,0
cat__place_Arieltown,0
cat__place_Arielview,0
cat__place_Armstrongborough,0
cat__place_Armstrongbury,0
cat__place_Armstrongfort,0
cat__place_Armstronghaven,0
cat__place_Armstrongmouth,0
cat__place_Arnoldberg,0
cat__place_Arnoldborough,0
cat__place_Arnoldbury,0
cat__place_Arnoldchester,0
cat__place_Arnoldhaven,0
cat__place_Arnoldland,0
cat__place_Arnoldport,0
cat__place_Arnoldshire,0
cat__place_Arnoldton,0
cat__place_Arnoldview,0
cat__place_Arnoldville,0
cat__place_Arroyohaven,0
cat__place_Arroyostad,0
cat__place_Arroyotown,0
cat__place_Arroyoville,0
cat__place_Arthurberg,0
cat__place_Arthurhaven,0
cat__place_Arthurmouth,0
cat__place_Arthurport,0
cat__place_Arthurview,0
cat__place_Arthurville,0
cat__place_Ashleehaven,0
cat__place_Ashleemouth,0
cat__place_Ashleetown,0
cat__place_Ashleeview,0
cat__place_Ashleyberg,0
cat__place_Ashleyborough,0
cat__place_Ashleyburgh,0
cat__place_Ashleybury,0
cat__place_Ashleychester,0
cat__place_Ashleyfort,0
cat__place_Ashleyfurt,0
cat__place_Ashleyhaven,0
cat__place_Ashleyland,0
cat__place_Ashleymouth,0
cat__place_Ashleyport,0
cat__place_Ashleyshire,0
cat__place_Ashleyside,0
cat__place_Ashleystad,0
cat__place_Ashleyton,0
cat__place_Ashleytown,0
cat__place_Ashleyview,0
cat__place_Ashleyville,0
cat__place_Atkinsland,0
cat__place_Atkinsonburgh,0
cat__place_Atkinsonfort,0
cat__place_Atkinsonland,0
cat__place_Atkinsonside,0
cat__place_Atkinsontown,0
cat__place_Atkinsville,0
cat__place_Audreyberg,0
cat__place_Audreyfort,0
cat__place_Audreyfurt,0
cat__place_Audreyside,0
cat__place_Audreyton,0
cat__place_Austinbury,0
cat__place_Austinchester,0
cat__place_Austinfurt,0
cat__place_Austinhaven,0
cat__place_Austinland,0
cat__place_Austinmouth,0
cat__place_Austinport,0
cat__place_Austinshire,0
cat__place_Austinside,0
cat__place_Austinstad,0
cat__place_Austintown,0
cat__place_Autumnborough,0
cat__place_Autumnfort,0
cat__place_Autumnmouth,0
cat__place_Autumnshire,0
cat__place_Autumnside,0
cat__place_Autumnstad,0
cat__place_Autumnton,0
cat__place_Autumntown,0
cat__place_Autumnville,0
cat__place_Averyfurt,0
cat__place_Averyside,0
cat__place_Averyton,0
cat__place_Averytown,0
cat__place_Avilafort,0
cat__place_Avilaside,0
cat__place_Avilastad,0
cat__place_Avilaton,0
cat__place_Avilaview,0
cat__place_Ayalabury,0
cat__place_Ayalachester,0
cat__place_Ayalafort,0
cat__place_Ayalahaven,0
cat__place_Ayalamouth,0
cat__place_Ayalashire,0
cat__place_Ayalaside,0
cat__place_Ayalaview,0
cat__place_Ayersfort,0
cat__place_Ayersfurt,0
cat__place_Ayersport,0
cat__place_BLUMENAU,0
cat__place_Baileyborough,0
cat__place_Baileyburgh,0
cat__place_Baileybury,0
cat__place_Baileychester,0
cat__place_Baileyfort,0
cat__place_Baileyfurt,0
cat__place_Baileyland,0
cat__place_Baileymouth,0
cat__place_Baileyport,0
cat__place_Baileyshire,0
cat__place_Baileystad,0
cat__place_Baileyton,0
cat__place_Baileytown,0
cat__place_Baileyview,0
cat__place_Baileyville,0
cat__place_Bairdshire,0
cat__place_Bairdtown,0
cat__place_Bakerberg,0
cat__place_Bakerborough,0
cat__place_Bakerburgh,0
cat__place_Bakerbury,0
cat__place_Bakerfort,0
cat__place_Bakerfurt,0
cat__place_Bakerhaven,0
cat__place_Bakerland,0
cat__place_Bakermouth,0
cat__place_Bakerport,0
cat__place_Bakershire,0
cat__place_Bakerside,0
cat__place_Bakerton,0
cat__place_Bakertown,0
cat__place_Bakerview,0
cat__place_Bakerville,0
cat__place_Baldwinberg,0
cat__place_Baldwinland,0
cat__place_Baldwinville,0
cat__place_Ballardton,0
cat__place_Ballardtown,0
cat__place_Ballardville,0
cat__place_Ballfort,0
cat__place_Ballland,0
cat__place_Ballport,0
cat__place_Ballside,0
cat__place_Ballview,0
cat__place_Banksburgh,0
cat__place_Banksbury,0
cat__place_Banksmouth,0
cat__place_Banksstad,0
cat__place_Banksview,0
cat__place_Banksville,0
cat__place_Barajasfurt,0
cat__place_Barajastown,0
cat__place_Barbaraberg,0
cat__place_Barbaraburgh,0
cat__place_Barbarabury,0
cat__place_Barbarachester,0
cat__place_Barbarafort,0
cat__place_Barbarahaven,0
cat__place_Barbaramouth,0
cat__place_Barbaraport,0
cat__place_Barbaratown,0
cat__place_Barbaraville,0
cat__place_Barberberg,0
cat__place_Barberbury,0
cat__place_Barberfurt,0
cat__place_Barberhaven,0
cat__place_Barberland,0
cat__place_Barkerberg,0
cat__place_Barkerborough,0
cat__place_Barkerburgh,0
cat__place_Barkerchester,0
cat__place_Barkermouth,0
cat__place_Barkerside,0
cat__place_Barkerstad,0
cat__place_Barnesberg,0
cat__place_Barnesburgh,0
cat__place_Barnesbury,0
cat__place_Barnesfort,0
cat__place_Barneshaven,0
cat__place_Barnesmouth,0
cat__place_Barnesport,0
cat__place_Barnesshire,0
cat__place_Barnesside,0
cat__place_Barnesstad,0
cat__place_Barneston,0
cat__place_Barnestown,0
cat__place_Barnettborough,0
cat__place_Barnettfort,0
cat__place_Barnettland,0
cat__place_Barnettmouth,0
cat__place_Barnettshire,0
cat__place_Barnettside,0
cat__place_Barnettstad,0
cat__place_Barnettville,0
cat__place_Barreraburgh,0
cat__place_Barrettborough,0
cat__place_Barrettchester,0
cat__place_Barrettfurt,0
cat__place_Barrettland,0
cat__place_Barrettmouth,0
cat__place_Barrettside,0
cat__place_Barrettton,0
cat__place_Barrettview,0
cat__place_Barrettville,0
cat__place_Barrmouth,0
cat__place_Barronfort,0
cat__place_Barronmouth,0
cat__place_Barronside,0
cat__place_Barronview,0
cat__place_Barrport,0
cat__place_Barrstad,0
cat__place_Barrview,0
cat__place_Barryberg,0
cat__place_Barryborough,0
cat__place_Barrybury,0
cat__place_Barryfurt,0
cat__place_Barrymouth,0
cat__place_Barryside,0
cat__place_Barryton,0
cat__place_Barryview,0
cat__place_Barryville,0
cat__place_Bartlettfurt,0
cat__place_Bartlettview,0
cat__place_Bartonberg,0
cat__place_Bartonbury,0
cat__place_Bartonfort,0
cat__place_Bartonmouth,0
cat__place_Bartonport,0
cat__place_Bassburgh,0
cat__place_Bassland,0
cat__place_Bassmouth,0
cat__place_Batesberg,0
cat__place_Bateshaven,0
cat__place_Batesmouth,0
cat__place_Bateston,0
cat__place_Bauerberg,0
cat__place_Bauermouth,0
cat__place_Bauerton,0
cat__place_Bautistaborough,0
cat__place_Bautistaport,0
cat__place_Bautistaville,0
cat__place_Baxterburgh,0
cat__place_Baxterbury,0
cat__place_Baxterfort,0
cat__place_Baxtermouth,0
cat__place_Baxterton,0
cat__place_Beanberg,0
cat__place_Beanstad,0
cat__place_Beanview,0
cat__place_Beardborough,0
cat__place_Beardburgh,0
cat__place_Beardmouth,0
cat__place_Beardshire,0
cat__place_Beardside,0
cat__place_Beardtown,0
cat__place_Beardville,0
cat__place_Beasleybury,0
cat__place_Beasleyfurt,0
cat__place_Beasleymouth,0
cat__place_Beasleyside,0
cat__place_Beckberg,0
cat__place_Beckborough,0
cat__place_Beckburgh,0
cat__place_Beckbury,0
cat__place_Beckerborough,0
cat__place_Beckerfurt,0
cat__place_Beckerside,0
cat__place_Beckerton,0
cat__place_Beckerview,0
cat__place_Beckfort,0
cat__place_Beckport,0
cat__place_Beckside,0
cat__place_Beckstad,0
cat__place_Beckybury,0
cat__place_Beckychester,0
cat__place_Beckyhaven,0
cat__place_Beckymouth,0
cat__place_Beckyshire,0
cat__place_Beckytown,0
cat__place_Belindahaven,0
cat__place_Belindamouth,0
cat__place_Belindaview,0
cat__place_Bellberg,0
cat__place_Bellborough,0
cat__place_Bellfurt,0
cat__place_Bellhaven,0
cat__place_Bellland,0
cat__place_Bellmouth,0
cat__place_Bellshire,0
cat__place_Bellton,0
cat__place_Belltown,0
cat__place_Beltranchester,0
cat__place_Beltranstad,0
cat__place_Beltranview,0
cat__place_Benderborough,0
cat__place_Benderport,0
cat__place_Bendertown,0
cat__place_Benderview,0
cat__place_Benitezfurt,0
cat__place_Benitezland,0
cat__place_Benitezton,0
cat__place_Benitezview,0
cat__place_Benitezville,0
cat__place_Benjaminborough,0
cat__place_Benjaminburgh,0
cat__place_Benjaminbury,0
cat__place_Benjaminchester,0
cat__place_Benjaminfort,0
cat__place_Benjaminfurt,0
cat__place_Benjaminhaven,0
cat__place_Benjaminland,0
cat__place_Benjaminmouth,0
cat__place_Benjaminport,0
cat__place_Benjaminshire,0
cat__place_Benjaminside,0
cat__place_Benjaminstad,0
cat__place_Benjaminton,0
cat__place_Benjamintown,0
cat__place_Benjaminview,0
cat__place_Benjaminville,0
cat__place_Bennettberg,0
cat__place_Bennettborough,0
cat__place_Bennettbury,0
cat__place_Bennettchester,0
cat__place_Bennettfurt,0
cat__place_Bennetthaven,0
cat__place_Bennettland,0
cat__place_Bennettmouth,0
cat__place_Bennettport,0
cat__place_Bennettshire,0
cat__place_Bennettside,0
cat__place_Bennettton,0
cat__place_Bennetttown,0
cat__place_Bennettview,0
cat__place_Bennettville,0
cat__place_Bensonburgh,0
cat__place_Bensonbury,0
cat__place_Bensonfurt,0
cat__place_Bensonhaven,0
cat__place_Bensonmouth,0
cat__place_Bensonshire,0
cat__place_Bensonside,0
cat__place_Bensonstad,0
cat__place_Bensonville,0
cat__place_Bentleychester,0
cat__place_Bentleyfort,0
cat__place_Bentleyville,0
cat__place_Bentonborough,0
cat__place_Bentonfurt,0
cat__place_Bentonland,0
cat__place_Bentonmouth,0
cat__place_Bentonside,0
cat__place_Bergburgh,0
cat__place_Bergerchester,0
cat__place_Bergerhaven,0
cat__place_Bergerstad,0
cat__place_Bergerville,0
cat__place_Berghaven,0
cat__place_Bernardborough,0
cat__place_Bernardchester,0
cat__place_Bernardland,0
cat__place_Bernardmouth,0
cat__place_Bernardport,0
cat__place_Berryberg,0
cat__place_Berryborough,0
cat__place_Berrybury,0
cat__place_Berrychester,0
cat__place_Berryfurt,0
cat__place_Berryland,0
cat__place_Berrymouth,0
cat__place_Berryport,0
cat__place_Berryshire,0
cat__place_Bestfurt,0
cat__place_Bestmouth,0
cat__place_Beststad,0
cat__place_Bestview,0
cat__place_Bethanyborough,0
cat__place_Bethanyfort,0
cat__place_Bethanyport,0
cat__place_Bethanystad,0
cat__place_Bethanyview,0
cat__place_Bethberg,0
cat__place_Bethborough,0
cat__place_Bethbury,0
cat__place_Bethchester,0
cat__place_Bethfort,0
cat__place_Bethhaven,0
cat__place_Bethland,0
cat__place_Bethmouth,0
cat__place_Bethport,0
cat__place_Bethshire,0
cat__place_Bethstad,0
cat__place_Bethtown,0
cat__place_Bettyland,0
cat__place_Bettymouth,0
cat__place_Bettyshire,0
cat__place_Bettyside,0
cat__place_Bettystad,0
cat__place_Beverlyfurt,0
cat__place_Beverlyshire,0
cat__place_Biancafurt,0
cat__place_Biancamouth,0
cat__place_Biancaside,0
cat__place_Biancaton,0
cat__place_Billbury,0
cat__place_Billtown,0
cat__place_Billyberg,0
cat__place_Billyborough,0
cat__place_Billyburgh,0
cat__place_Billyfort,0
cat__place_Billyhaven,0
cat__place_Billymouth,0
cat__place_Billytown,0
cat__place_Billyview,0
cat__place_Birdfort,0
cat__place_Bishopborough,0
cat__place_Bishopburgh,0
cat__place_Bishopmouth,0
cat__place_Bishopshire,0
cat__place_Bishopside,0
cat__place_Bishopstad,0
cat__place_Bishoptown,0
cat__place_Blackberg,0
cat__place_Blackburgh,0
cat__place_Blackburnfort,0
cat__place_Blackburnmouth,0
cat__place_Blackbury,0
cat__place_Blackfurt,0
cat__place_Blackhaven,0
cat__place_Blackland,0
cat__place_Blackmouth,0
cat__place_Blackport,0
cat__place_Blackshire,0
cat__place_Blackstad,0
cat__place_Blackview,0
cat__place_Blackville,0
cat__place_Blackwellberg,0
cat__place_Blackwellfurt,0
cat__place_Blackwellland,0
cat__place_Blackwellmouth,0
cat__place_Blackwellstad,0
cat__place_Blackwelltown,0
cat__place_Blairland,0
